firstname,id,motivation,share,surname,year,gender,prize
Takaaki,919,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2,Kajita,2015,male,physics
Arthur B.,920,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2,McDonald,2015,male,physics
Isamu,906,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Akasaki,2014,male,physics
Hiroshi,907,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Amano,2014,male,physics
Shuji,908,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Nakamura,2014,male,physics
François,887,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,Englert,2013,male,physics
Peter W.,888,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,Higgs,2013,male,physics
Serge,876,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,Haroche,2012,male,physics
David J.,877,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,Wineland,2012,male,physics
Saul,864,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2,Perlmutter,2011,male,physics
Brian P.,865,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,Schmidt,2011,male,physics
Adam G.,866,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,Riess,2011,male,physics
Andre,849,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,Geim,2010,male,physics
Konstantin,850,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,Novoselov,2010,male,physics
Charles Kuen,838,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2,Kao,2009,male,physics
Willard S.,839,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,Boyle,2009,male,physics
George E.,840,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,Smith,2009,male,physics
Yoichiro,826,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2,Nambu,2008,male,physics
Makoto,827,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,Kobayashi,2008,male,physics
Toshihide,828,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,Maskawa,2008,male,physics
Albert,814,"""for the discovery of Giant Magnetoresistance""",2,Fert,2007,male,physics
Peter,815,"""for the discovery of Giant Magnetoresistance""",2,Grünberg,2007,male,physics
John C.,804,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,Mather,2006,male,physics
George F.,805,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,Smoot,2006,male,physics
Roy J.,791,"""for his contribution to the quantum theory of optical coherence""",2,Glauber,2005,male,physics
John L.,792,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4,Hall,2005,male,physics
Theodor W.,793,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",4,Hänsch,2005,male,physics
David J.,776,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,Gross,2004,male,physics
H. David,777,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,Politzer,2004,male,physics
Frank,778,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,Wilczek,2004,male,physics
Alexei A.,766,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Abrikosov,2003,male,physics
Vitaly L.,767,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Ginzburg,2003,male,physics
Anthony J.,768,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Leggett,2003,male,physics
Raymond,753,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4,Davis Jr.,2002,male,physics
Masatoshi,754,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",4,Koshiba,2002,male,physics
Riccardo,755,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",2,Giacconi,2002,male,physics
Eric A.,738,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,Cornell,2001,male,physics
Wolfgang,739,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,Ketterle,2001,male,physics
Carl E.,740,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",3,Wieman,2001,male,physics
Zhores I.,726,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",4,Alferov,2000,male,physics
Herbert,727,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",4,Kroemer,2000,male,physics
Jack S.,728,"""for his part in the invention of the integrated circuit""",2,Kilby,2000,male,physics
Gerardus,158,"""for elucidating the quantum structure of electroweak interactions in physics""",2,'t Hooft,1999,male,physics
Martinus J.G.,159,"""for elucidating the quantum structure of electroweak interactions in physics""",2,Veltman,1999,male,physics
Robert B.,155,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,Laughlin,1998,male,physics
Horst L.,156,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,Störmer,1998,male,physics
Daniel C.,157,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",3,Tsui,1998,male,physics
Steven,152,"""for development of methods to cool and trap atoms with laser light""",3,Chu,1997,male,physics
Claude,153,"""for development of methods to cool and trap atoms with laser light""",3,Cohen-Tannoudji,1997,male,physics
William D.,154,"""for development of methods to cool and trap atoms with laser light""",3,Phillips,1997,male,physics
David M.,149,"""for their discovery of superfluidity in helium-3""",3,Lee,1996,male,physics
Douglas D.,150,"""for their discovery of superfluidity in helium-3""",3,Osheroff,1996,male,physics
Robert C.,151,"""for their discovery of superfluidity in helium-3""",3,Richardson,1996,male,physics
Martin L.,147,"""for the discovery of the tau lepton""",2,Perl,1995,male,physics
Frederick,148,"""for the detection of the neutrino""",2,Reines,1995,male,physics
Bertram N.,145,"""for the development of neutron spectroscopy""",2,Brockhouse,1994,male,physics
Clifford G.,146,"""for the development of the neutron diffraction technique""",2,Shull,1994,male,physics
Russell A.,143,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",2,Hulse,1993,male,physics
Joseph H.,144,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation""",2,Taylor Jr.,1993,male,physics
Georges,142,"""for his invention and development of particle detectors, in particular the multiwire proportional chamber""",1,Charpak,1992,male,physics
Pierre-Gilles,141,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers""",1,de Gennes,1991,male,physics
Jerome I.,138,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,Friedman,1990,male,physics
Henry W.,139,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,Kendall,1990,male,physics
Richard E.,140,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""",3,Taylor,1990,male,physics
Norman F.,135,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",2,Ramsey,1989,male,physics
Hans G.,136,"""for the development of the ion trap technique""",4,Dehmelt,1989,male,physics
Wolfgang,137,"""for the development of the ion trap technique""",4,Paul,1989,male,physics
Leon M.,132,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,Lederman,1988,male,physics
Melvin,133,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,Schwartz,1988,male,physics
Jack,134,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",3,Steinberger,1988,male,physics
J. Georg,130,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2,Bednorz,1987,male,physics
K. Alexander,131,"""for their important break-through in the discovery of superconductivity in ceramic materials""",2,Müller,1987,male,physics
Ernst,127,"""for his fundamental work in electron optics, and for the design of the first electron microscope""",2,Ruska,1986,male,physics
Gerd,128,"""for their design of the scanning tunneling microscope""",4,Binnig,1986,male,physics
Heinrich,129,"""for their design of the scanning tunneling microscope""",4,Rohrer,1986,male,physics
Klaus,126,"""for the discovery of the quantized Hall effect""",1,von Klitzing,1985,male,physics
Carlo,124,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2,Rubbia,1984,male,physics
Simon,125,"""for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction""",2,van der Meer,1984,male,physics
Subramanyan,122,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",2,Chandrasekhar,1983,male,physics
